region,sex,black_or_not,chinese_or_not,other_race,mexican_or_not,age_under_30,income_in_range,n
middle atlantic division,1,0,0,0,0,0,0,99817
middle atlantic division,1,0,0,0,0,0,1,4793
middle atlantic division,1,0,0,0,0,1,0,23259
middle atlantic division,1,0,0,0,0,1,1,1098
middle atlantic division,1,0,0,0,1,0,0,773
middle atlantic division,1,0,0,0,1,0,1,30
middle atlantic division,1,0,0,0,1,1,0,391
middle atlantic division,1,0,0,0,1,1,1,16
middle atlantic division,1,0,0,1,0,0,0,8498
middle atlantic division,1,0,0,1,0,0,1,535
middle atlantic division,1,0,0,1,0,1,0,3280
middle atlantic division,1,0,0,1,0,1,1,127
middle atlantic division,1,0,0,1,1,0,0,594
middle atlantic division,1,0,0,1,1,0,1,11
middle atlantic division,1,0,0,1,1,1,0,279
middle atlantic division,1,0,1,0,0,0,0,2654
middle atlantic division,1,0,1,0,0,0,1,184
middle atlantic division,1,0,1,0,0,1,0,981
middle atlantic division,1,0,1,0,0,1,1,52
middle atlantic division,1,1,0,0,0,0,0,11266
middle atlantic division,1,1,0,0,0,0,1,331
middle atlantic division,1,1,0,0,0,1,0,4044
middle atlantic division,1,1,0,0,0,1,1,89
middle atlantic division,1,1,0,0,1,0,0,15
middle atlantic division,1,1,0,0,1,1,0,14
east north central div,0,0,0,0,0,0,0,133824
east north central div,0,0,0,0,0,0,1,3555
east north central div,0,0,0,0,0,1,0,27720
east north central div,0,0,0,0,0,1,1,607
east north central div,0,0,0,0,1,0,0,3207
east north central div,0,0,0,0,1,0,1,70
east north central div,0,0,0,0,1,1,0,1584
east north central div,0,0,0,0,1,1,1,25
east north central div,0,0,0,1,0,0,0,3538
east north central div,0,0,0,1,0,0,1,193
east north central div,0,0,0,1,0,1,0,1172
east north central div,0,0,0,1,0,1,1,34
east north central div,0,0,0,1,1,0,0,1342
east north central div,0,0,0,1,1,0,1,13
east north central div,0,0,0,1,1,1,0,578
east north central div,0,0,1,0,0,0,0,726
east north central div,0,0,1,0,0,0,1,54
east north central div,0,0,1,0,0,1,0,413
east north central div,0,1,0,0,0,0,0,12759
east north central div,0,1,0,0,0,0,1,128
east north central div,0,1,0,0,0,1,0,3258
east north central div,0,1,0,0,0,1,1,26
east north central div,0,1,0,0,1,0,0,49
east north central div,0,1,0,0,1,1,0,31
east north central div,1,0,0,0,0,0,0,125744
east north central div,1,0,0,0,0,0,1,3549
east north central div,1,0,0,0,0,1,0,28762
east north central div,1,0,0,0,0,1,1,705
east north central div,1,0,0,0,1,0,0,3301
east north central div,1,0,0,0,1,0,1,65
east north central div,1,0,0,0,1,1,0,1615
east north central div,1,0,0,0,1,1,1,26
east north central div,1,0,0,1,0,0,0,3069
east north central div,1,0,0,1,0,0,1,202
east north central div,1,0,0,1,0,1,0,1240
east north central div,1,0,0,1,0,1,1,28
east north central div,1,0,0,1,1,0,0,1461
east north central div,1,0,0,1,1,0,1,13
east north central div,1,0,0,1,1,1,0,603
east north central div,1,0,1,0,0,0,0,576
east north central div,1,0,1,0,0,0,1,46
east north central div,1,0,1,0,0,1,0,413
east north central div,1,1,0,0,0,0,0,10828
east north central div,1,1,0,0,0,0,1,130
east north central div,1,1,0,0,0,1,0,3665
east north central div,1,1,0,0,0,1,1,34
east north central div,1,1,0,0,1,0,0,30
east north central div,1,1,0,0,1,1,0,29
west north central div,0,0,0,0,0,0,0,64723
west north central div,0,0,0,0,0,0,1,1491
west north central div,0,0,0,0,0,1,0,13452
west north central div,0,0,0,0,0,1,1,233
west north central div,0,0,0,0,1,0,0,1038
west north central div,0,0,0,0,1,0,1,18
west north central div,0,0,0,0,1,1,0,566
west north central div,0,0,0,1,0,0,0,1088
west north central div,0,0,0,1,0,0,1,53
west north central div,0,0,0,1,0,1,0,481
west north central div,0,0,0,1,1,0,0,311
west north central div,0,0,0,1,1,1,0,159
west north central div,0,0,1,0,0,0,0,181
west north central div,0,0,1,0,0,1,0,129
west north central div,0,1,0,0,0,0,0,2494
west north central div,0,1,0,0,0,0,1,21
west north central div,0,1,0,0,0,1,0,771
west north central div,0,1,0,0,1,0,0,12
west north central div,1,0,0,0,0,0,0,61725
west north central div,1,0,0,0,0,0,1,1495
west north central div,1,0,0,0,0,1,0,14122
west north central div,1,0,0,0,0,1,1,275
west north central div,1,0,0,0,1,0,0,1012
west north central div,1,0,0,0,1,0,1,10
west north central div,1,0,0,0,1,1,0,588
west north central div,1,0,0,1,0,0,0,983
west north central div,1,0,0,1,0,0,1,44
west north central div,1,0,0,1,0,1,0,479
west north central div,1,0,0,1,1,0,0,362
west north central div,1,0,0,1,1,1,0,205
west north central div,1,0,1,0,0,0,0,142
west north central div,1,0,1,0,0,1,0,105
west north central div,1,1,0,0,0,0,0,2534
west north central div,1,1,0,0,0,0,1,29
west north central div,1,1,0,0,0,1,0,1052
west north central div,1,1,0,0,1,0,0,10
west north central div,1,1,0,0,1,1,0,11
south atlantic division,0,0,0,0,0,0,0,164697
south atlantic division,0,0,0,0,0,0,1,6121
south atlantic division,0,0,0,0,0,1,0,32215
south atlantic division,0,0,0,0,0,1,1,862
south atlantic division,0,0,0,0,1,0,0,2488
south atlantic division,0,0,0,0,1,0,1,54
